"sep=,"
ID,STATUS,TASK,REACTION,ENANTIOMER,R1,R2,RCAT,RCH,STATIONARY_POINT,DIRECTORY,FLAGS,INXYZ,OUTXYZ,RUNTIME,PROGRESS,HASH
13,Success,TSRC,achiral_catalyst,,H,Ph,TiCl4,,TS,achiral_catalyst_H_Ph_TiCl4\13.achiral_catalyst.H_Ph_TiCl4.TS,R1=H R2=Ph Rcat=TiCl4 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\13.achiral_catalyst.H_Ph_TiCl4.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\13.achiral_catalyst.H_Ph_TiCl4.TS\output.xyz,102:35:46,FREQ 27,6dd7bd0969f177c61fa8d6f63c14857b8fc6af826ea312690c496064948afe7f
14,Running,GO,achiral_catalyst,,H,Ph,TiCl4,,P1,achiral_catalyst_H_Ph_TiCl4\14.achiral_catalyst.H_Ph_TiCl4.P1,GO R1=H R2=Ph Rcat=TiCl4 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\14.achiral_catalyst.H_Ph_TiCl4.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\14.achiral_catalyst.H_Ph_TiCl4.P1\output.xyz,71:36:57,GEO 58,119087e009b92c0049b3555b0ba796bd9b0f5ec02d024259e4e7794382d8f272
16,Success,GO,achiral_catalyst,,H,Ph,TiCl4,,P2,achiral_catalyst_H_Ph_TiCl4\16.achiral_catalyst.H_Ph_TiCl4.P2,GO R1=H R2=Ph Rcat=TiCl4,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\16.achiral_catalyst.H_Ph_TiCl4.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\16.achiral_catalyst.H_Ph_TiCl4.P2\output.xyz,34:17:06,FREQ 28,cf24de7c899229710ab74a7503ecb4129ede0a60308a3faeba0e59d10745c5ef
1,Success,GO,achiral_catalyst,,H,Ph,,,Rsub,achiral_catalyst_H_Ph_ZnCl2\1.achiral_catalyst.H_Ph_ZnCl2.Rsub,GO R1=H R2=Ph,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\1.achiral_catalyst.H_Ph_ZnCl2.Rsub\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\1.achiral_catalyst.H_Ph_ZnCl2.Rsub\output.xyz,08:59:09,FREQ 18,541e780900a0e577c9bd8655fed843a8f27ef27716a2778d5a7b8cfab44a47f5
2,Success,GO,achiral_catalyst,,,,,,Rrad,achiral_catalyst_H_Ph_ZnCl2\2.achiral_catalyst.H_Ph_ZnCl2.Rrad,GO radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\2.achiral_catalyst.H_Ph_ZnCl2.Rrad\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\2.achiral_catalyst.H_Ph_ZnCl2.Rrad\output.xyz,00:10:59,FREQ 4,08fba8608791072397dd60e4fb75c6e912314dd0dd533f9b3b0e13a505ff3f51
3,Success,GO,achiral_catalyst,,,,ZnCl2,,Rcat,achiral_catalyst_H_Ph_ZnCl2\3.achiral_catalyst.H_Ph_ZnCl2.Rcat,GO Rcat=ZnCl2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\3.achiral_catalyst.H_Ph_ZnCl2.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\3.achiral_catalyst.H_Ph_ZnCl2.Rcat\output.xyz,00:08:39,FREQ 3,ebb568b4f698b5736b1af496c81569623796e1a6889795223b427f76f3d36e2f
4,Success,GO,achiral_catalyst,,H,Ph,ZnCl2,,Rsub_cat_complex,achiral_catalyst_H_Ph_ZnCl2\4.achiral_catalyst.H_Ph_ZnCl2.Rsub_cat_complex,GO R1=H R2=Ph Rcat=ZnCl2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\4.achiral_catalyst.H_Ph_ZnCl2.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\4.achiral_catalyst.H_Ph_ZnCl2.Rsub_cat_complex\output.xyz,29:54:11,FREQ 21,e2d0473601c75a54e4c6cb35d64a5bc6fc1dc266199540ad23ad45a41c4d5130
5,Success,TSRC,achiral_catalyst,,H,Ph,ZnCl2,,TS,achiral_catalyst_H_Ph_ZnCl2\5.achiral_catalyst.H_Ph_ZnCl2.TS,R1=H R2=Ph Rcat=ZnCl2 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\5.achiral_catalyst.H_Ph_ZnCl2.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\5.achiral_catalyst.H_Ph_ZnCl2.TS\output.xyz,143:21:22,FREQ 25,c5b902708264110fcc43810c344ee21076ba1231366450f81962bccefe72bcd2
6,Success,GO,achiral_catalyst,,H,Ph,ZnCl2,,P1,achiral_catalyst_H_Ph_ZnCl2\6.achiral_catalyst.H_Ph_ZnCl2.P1,GO R1=H R2=Ph Rcat=ZnCl2 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\6.achiral_catalyst.H_Ph_ZnCl2.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\6.achiral_catalyst.H_Ph_ZnCl2.P1\output.xyz,73:20:13,FREQ 25,083be35ead447d6eac2596d4c15ce898fc2cbce3f0fc37faac1e5a38aae2019d
7,Success,GO,achiral_catalyst,,H,Ph,ZnCl2,,P2,achiral_catalyst_H_Ph_ZnCl2\7.achiral_catalyst.H_Ph_ZnCl2.P2,GO R1=H R2=Ph Rcat=ZnCl2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\7.achiral_catalyst.H_Ph_ZnCl2.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_ZnCl2\7.achiral_catalyst.H_Ph_ZnCl2.P2\output.xyz,38:20:18,FREQ 26,a096e594d4cad507304a4ee4e36521074376f48f6b0b58a62b0e22cea003e874
33,Success,GO,achiral_catalyst,,H,tBu,AlF3,,Rsub_cat_complex,achiral_catalyst_H_tBu_AlF3\33.achiral_catalyst.H_tBu_AlF3.Rsub_cat_complex,GO R1=H R2=tBu Rcat=AlF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\33.achiral_catalyst.H_tBu_AlF3.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\33.achiral_catalyst.H_tBu_AlF3.Rsub_cat_complex\output.xyz,25:12:05,FREQ 24,b51b1a247fef82e8ecf0a1ff8c65e05f05607c98e451e8847a64613ae41944bb
34,Success,TSRC,achiral_catalyst,,H,tBu,AlF3,,TS,achiral_catalyst_H_tBu_AlF3\34.achiral_catalyst.H_tBu_AlF3.TS,R1=H R2=tBu Rcat=AlF3 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\34.achiral_catalyst.H_tBu_AlF3.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\34.achiral_catalyst.H_tBu_AlF3.TS\output.xyz,94:22:41,FREQ 28,b1edd2705f703e2fad0b11805f403fb1cd3d951ed422a3bba3ae0743f1d4b3ab
35,Success,GO,achiral_catalyst,,H,tBu,AlF3,,P1,achiral_catalyst_H_tBu_AlF3\35.achiral_catalyst.H_tBu_AlF3.P1,GO R1=H R2=tBu Rcat=AlF3 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\35.achiral_catalyst.H_tBu_AlF3.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\35.achiral_catalyst.H_tBu_AlF3.P1\output.xyz,142:54:24,FREQ 28,c15abba0698213afee71ee20b5a12d5a466633de204c7b57d01743a0279bf680
36,Success,GO,achiral_catalyst,,H,tBu,AlF3,,P2,achiral_catalyst_H_tBu_AlF3\36.achiral_catalyst.H_tBu_AlF3.P2,GO R1=H R2=tBu Rcat=AlF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\36.achiral_catalyst.H_tBu_AlF3.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\36.achiral_catalyst.H_tBu_AlF3.P2\output.xyz,50:02:04,FREQ 29,02a6fdf088a941a375cf3eaa71ceaf86561925e29a453e84c652db71e078b30e
8,Success,GO,achiral_catalyst,,H,tBu,,,Rsub,achiral_catalyst_H_tBu_AlF3\8.achiral_catalyst.H_tBu_AlF3.Rsub,GO R1=H R2=tBu,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\8.achiral_catalyst.H_tBu_AlF3.Rsub\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_AlF3\8.achiral_catalyst.H_tBu_AlF3.Rsub\output.xyz,11:52:17,FREQ 20,7f2605e685b29f88ac75d117707bd09d9a15c47a67bc012d5c48abd01089e64d
38,Success,GO,achiral_catalyst,,H,tBu,BF3,,Rsub_cat_complex,achiral_catalyst_H_tBu_BF3\38.achiral_catalyst.H_tBu_BF3.Rsub_cat_complex,GO R1=H R2=tBu Rcat=BF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\38.achiral_catalyst.H_tBu_BF3.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\38.achiral_catalyst.H_tBu_BF3.Rsub_cat_complex\output.xyz,24:51:21,FREQ 24,ca44e23c0d09e5abf25ba23098fa267732a2f8361aebf48587057a76c6851e9a
39,Running,TSRC,achiral_catalyst,,H,tBu,BF3,,TS,achiral_catalyst_H_tBu_BF3\39.achiral_catalyst.H_tBu_BF3.TS,R1=H R2=tBu Rcat=BF3 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\39.achiral_catalyst.H_tBu_BF3.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\39.achiral_catalyst.H_tBu_BF3.TS\output.xyz,94:51:55,FREQ 28,b4df970b77cf070f172894dbe20553a4625146c4f58ab37514e39b896e540ac3
43,Success,GO,achiral_catalyst,,H,tBu,BF3,,P1,achiral_catalyst_H_tBu_BF3\43.achiral_catalyst.H_tBu_BF3.P1,GO R1=H R2=tBu Rcat=BF3 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\43.achiral_catalyst.H_tBu_BF3.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\43.achiral_catalyst.H_tBu_BF3.P1\output.xyz,100:58:12,FREQ 28,8ccf218a60f9dd1c0f2d4e11e6d33500043960d2cff5dbd618db0bf78b3e0e76
44,Success,GO,achiral_catalyst,,H,tBu,BF3,,P2,achiral_catalyst_H_tBu_BF3\44.achiral_catalyst.H_tBu_BF3.P2,GO R1=H R2=tBu Rcat=BF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\44.achiral_catalyst.H_tBu_BF3.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_BF3\44.achiral_catalyst.H_tBu_BF3.P2\output.xyz,39:16:29,FREQ 29,692c489f7733a10622c1fab10ea58fa6a2d6f13eacf594a8da5d8da2ca7e5fd1
54,Success,GO,achiral_catalyst,,H,tBu,I2,,Rsub_cat_complex,achiral_catalyst_H_tBu_I2\54.achiral_catalyst.H_tBu_I2.Rsub_cat_complex,GO R1=H R2=tBu Rcat=I2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\54.achiral_catalyst.H_tBu_I2.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\54.achiral_catalyst.H_tBu_I2.Rsub_cat_complex\output.xyz,06:12:01,FREQ 22,88eeb83dca47d06e2f898c474dd1505cc865083eb94c85ea06304417725022bd
55,Failed,TSRC,achiral_catalyst,,H,tBu,I2,,TS,achiral_catalyst_H_tBu_I2\55.achiral_catalyst.H_tBu_I2.TS,R1=H R2=tBu Rcat=I2 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\55.achiral_catalyst.H_tBu_I2.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\55.achiral_catalyst.H_tBu_I2.TS\output.xyz,10:51:00,FREQ 11,82717590bdb5a5fd15ac7d1f1d1b90de2fc8ce57c9f44fd547321f293cc20338
56,Failed,GO,achiral_catalyst,,H,tBu,I2,,P1,achiral_catalyst_H_tBu_I2\56.achiral_catalyst.H_tBu_I2.P1,GO R1=H R2=tBu Rcat=I2 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\56.achiral_catalyst.H_tBu_I2.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_I2\56.achiral_catalyst.H_tBu_I2.P1\output.xyz,04:38:57,GEO 18,098f5dcf069c4f3b4363e44341a2f0e79346d896be47d759538726241e8eb9ef
57,Queued,GO,achiral_catalyst,,H,tBu,I2,,P2,achiral_catalyst_H_tBu_I2\57.achiral_catalyst.H_tBu_I2.P2,GO R1=H R2=tBu Rcat=I2,,,00:00:00,,148116f6937b7bf4cd4f2b3239b274641a61d989371ee393897cc249239de4aa
37,Success,GO,achiral_catalyst,,,,SnCl4,,Rcat,achiral_catalyst_H_tBu_SnCl4\37.achiral_catalyst.H_tBu_SnCl4.Rcat,GO Rcat=SnCl4,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\37.achiral_catalyst.H_tBu_SnCl4.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\37.achiral_catalyst.H_tBu_SnCl4.Rcat\output.xyz,00:27:31,FREQ 5,94b68653fc9a4dc52e39ab34f960cabc37a32b88afe0f62136dbd0de4fce46a6
45,Success,GO,achiral_catalyst,,H,tBu,SnCl4,,Rsub_cat_complex,achiral_catalyst_H_tBu_SnCl4\45.achiral_catalyst.H_tBu_SnCl4.Rsub_cat_complex,GO R1=H R2=tBu Rcat=SnCl4,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\45.achiral_catalyst.H_tBu_SnCl4.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\45.achiral_catalyst.H_tBu_SnCl4.Rsub_cat_complex\output.xyz,51:15:46,FREQ 25,730f326d9df9ab154bd728b5f8138911c334d86e8b91a6b842ce68c36d79b7f9
46,Success,TSRC,achiral_catalyst,,H,tBu,SnCl4,,TS,achiral_catalyst_H_tBu_SnCl4\46.achiral_catalyst.H_tBu_SnCl4.TS,R1=H R2=tBu Rcat=SnCl4 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\46.achiral_catalyst.H_tBu_SnCl4.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\46.achiral_catalyst.H_tBu_SnCl4.TS\output.xyz,148:56:03,FREQ 29,3ab03ead61cc6672fe7749ae2a1739acef9534c7930d61b99c1412c21db5dfb7
47,Running,GO,achiral_catalyst,,H,tBu,SnCl4,,P1,achiral_catalyst_H_tBu_SnCl4\47.achiral_catalyst.H_tBu_SnCl4.P1,GO R1=H R2=tBu Rcat=SnCl4 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\47.achiral_catalyst.H_tBu_SnCl4.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_tBu_SnCl4\47.achiral_catalyst.H_tBu_SnCl4.P1\output.xyz,128:41:54,GEO 96,6027c1b9e1b4d6108b75af313f8380fb29046d6d628819935230ee6594ef0b82
